"activity" "subject" "measurement" "mean"
"WALKING_DOWNSTAIRS" 14 "time.BodyAcc.std.X" -0.493875900753279
"WALKING_DOWNSTAIRS" 15 "time.BodyAcc.std.X" -0.556541173089329
"WALKING_DOWNSTAIRS" 16 "time.BodyAcc.std.X" -0.668161498298634
"WALKING_DOWNSTAIRS" 17 "time.BodyAcc.std.X" -0.992370654583333
"WALKING_UPSTAIRS" 4 "time.BodyAcc.std.X" -0.481157815330894
"WALKING_UPSTAIRS" 6 "time.BodyAcc.std.X" -0.127000600558652
"WALKING_UPSTAIRS" 7 "time.BodyAcc.std.X" -0.577518324748052
"WALKING_UPSTAIRS" 8 "time.BodyAcc.std.X" -0.582958863017438
"WALKING_UPSTAIRS" 9 "time.BodyAcc.std.X" -0.555656544538194
"WALKING_UPSTAIRS" 10 "time.BodyAcc.std.X" -0.976914667166667
"WALKING_UPSTAIRS" 11 "time.BodyAcc.std.X" -0.58947649779557
"WALKING_UPSTAIRS" 14 "time.BodyAcc.std.X" -0.975494321518987
"LAYING" 20 "time.BodyAcc.std.Y" -0.259011300096154
"LAYING" 24 "time.BodyAcc.std.Y" -0.582490655185302
"LAYING" 27 "time.BodyAcc.std.Y" -0.541012892132886
"LAYING" 28 "time.BodyAcc.std.Y" -0.573651895933508
"LAYING" 29 "time.BodyAcc.std.Y" -0.598400275636657
"LAYING" 30 "time.BodyAcc.std.Y" -0.519047387875457
"SITTING" 12 "time.BodyAcc.std.Y" -0.401357613464179
"SITTING" 13 "time.BodyAcc.std.Y" -0.448816097853364
"SITTING" 17 "time.BodyAcc.std.Y" -0.507275258134
"SITTING" 18 "time.BodyAcc.std.Y" -0.939095257
"SITTING" 19 "time.BodyAcc.std.Y" -0.507035084992639
"SITTING" 21 "time.BodyAcc.std.Y" -0.565585190336299
"SITTING" 22 "time.BodyAcc.std.Y" -0.593370593093586
"STANDING" 18 "time.BodyAcc.std.Y" -0.599095553763473
"STANDING" 20 "time.BodyAcc.std.Y" -0.456259753985354
"STANDING" 22 "time.BodyAcc.std.Y" -0.326700060089431
"STANDING" 23 "time.BodyAcc.std.Y" -0.532078546615699
"STANDING" 25 "time.BodyAcc.std.Y" -0.531421035602689
"STANDING" 26 "time.BodyAcc.std.Y" -0.585967142418112
"STANDING" 27 "time.BodyAcc.std.Y" -0.972196177948718
"WALKING" 1 "time.BodyAcc.std.Y" -0.367716218227378
"WALKING" 2 "time.BodyAcc.std.Y" -0.428962986589404
"WALKING" 3 "time.BodyAcc.std.Y" -0.480015920697654
"WALKING" 4 "time.BodyAcc.std.Y" -0.589609330539691
"WALKING" 5 "time.BodyAcc.std.Y" -0.402724906078146
"WALKING" 6 "time.BodyAcc.std.Y" -0.553142396078856
"WALKING_DOWNSTAIRS" 10 "time.BodyAcc.std.Y" -0.386704550776068
"WALKING_DOWNSTAIRS" 12 "time.BodyAcc.std.Y" -0.608983265026882
"WALKING_DOWNSTAIRS" 14 "time.BodyAcc.std.Y" -0.190356784144426
"WALKING_DOWNSTAIRS" 15 "time.BodyAcc.std.Y" -0.481679537956006
"WALKING_DOWNSTAIRS" 16 "time.BodyAcc.std.Y" -0.649947067892896
"WALKING_DOWNSTAIRS" 17 "time.BodyAcc.std.Y" -0.965205728333333
"WALKING_UPSTAIRS" 4 "time.BodyAcc.std.Y" -0.384255322007236
"WALKING_UPSTAIRS" 6 "time.BodyAcc.std.Y" 0.121465311011236
"WALKING_UPSTAIRS" 7 "time.BodyAcc.std.Y" -0.546403365345779
"WALKING_UPSTAIRS" 8 "time.BodyAcc.std.Y" -0.349383732046263
"WALKING_UPSTAIRS" 9 "time.BodyAcc.std.Y" -0.5758878952125
"WALKING_UPSTAIRS" 10 "time.BodyAcc.std.Y" -0.929141091633333
"WALKING_UPSTAIRS" 11 "time.BodyAcc.std.Y" -0.490379346996835
"WALKING_UPSTAIRS" 14 "time.BodyAcc.std.Y" -0.944189643417721
"LAYING" 20 "time.BodyAcc.std.Z" -0.639730168647436
"LAYING" 24 "time.BodyAcc.std.Z" -0.636497458900262
"LAYING" 27 "time.BodyAcc.std.Z" -0.60815876533557
"LAYING" 28 "time.BodyAcc.std.Z" -0.685821415026178
"LAYING" 29 "time.BodyAcc.std.Z" -0.606461283926453
"LAYING" 30 "time.BodyAcc.std.Z" -0.522643273772115
"SITTING" 12 "time.BodyAcc.std.Z" -0.722443639029851
"SITTING" 13 "time.BodyAcc.std.Z" -0.587230562129052
"SITTING" 17 "time.BodyAcc.std.Z" -0.613217322774375
"SITTING" 18 "time.BodyAcc.std.Z" -0.950753017666667
"SITTING" 19 "time.BodyAcc.std.Z" -0.649184726556944
"SITTING" 21 "time.BodyAcc.std.Z" -0.669621813176471
"SITTING" 22 "time.BodyAcc.std.Z" -0.719165341207576
"STANDING" 18 "time.BodyAcc.std.Z" -0.679216670329341
"STANDING" 20 "time.BodyAcc.std.Z" -0.630893001863636
"STANDING" 22 "time.BodyAcc.std.Z" -0.551943490507317
"STANDING" 23 "time.BodyAcc.std.Z" -0.450557203409946
"STANDING" 25 "time.BodyAcc.std.Z" -0.64709556105868
"STANDING" 26 "time.BodyAcc.std.Z" -0.70498062744898
"STANDING" 27 "time.BodyAcc.std.Z" -0.969969877692308
"WALKING" 1 "time.BodyAcc.std.Z" -0.502645746562824
"WALKING" 2 "time.BodyAcc.std.Z" -0.589360062210596
"WALKING" 3 "time.BodyAcc.std.Z" -0.653625579293255
"WALKING" 4 "time.BodyAcc.std.Z" -0.741959040257732
"WALKING" 5 "time.BodyAcc.std.Z" -0.646443640175497
"WALKING" 6 "time.BodyAcc.std.Z" -0.789845077542373
"WALKING_DOWNSTAIRS" 10 "time.BodyAcc.std.Z" -0.523113372540812
"WALKING_DOWNSTAIRS" 12 "time.BodyAcc.std.Z" -0.682615496811828
"WALKING_DOWNSTAIRS" 14 "time.BodyAcc.std.Z" -0.0829789883191393
"WALKING_DOWNSTAIRS" 15 "time.BodyAcc.std.Z" -0.705706623868902
"WALKING_DOWNSTAIRS" 16 "time.BodyAcc.std.Z" -0.603819902386066
"WALKING_DOWNSTAIRS" 17 "time.BodyAcc.std.Z" -0.976352307916667
"WALKING_UPSTAIRS" 4 "time.BodyAcc.std.Z" -0.658285719430894
"WALKING_UPSTAIRS" 6 "time.BodyAcc.std.Z" -0.361381608884045
"WALKING_UPSTAIRS" 7 "time.BodyAcc.std.Z" -0.456473642256981
"WALKING_UPSTAIRS" 8 "time.BodyAcc.std.Z" -0.499472687913167
"WALKING_UPSTAIRS" 9 "time.BodyAcc.std.Z" -0.506111776081806
"WALKING_UPSTAIRS" 10 "time.BodyAcc.std.Z" -0.972264913
"WALKING_UPSTAIRS" 11 "time.BodyAcc.std.Z" -0.665324314227848
"WALKING_UPSTAIRS" 14 "time.BodyAcc.std.Z" -0.943891439113924
"LAYING" 20 "time.GravityAcc.mean.X" 0.590974958467949
"LAYING" 24 "time.GravityAcc.mean.X" 0.69498126808399
"LAYING" 27 "time.GravityAcc.mean.X" 0.585139591107383
"LAYING" 28 "time.GravityAcc.mean.X" 0.62376789513089
"LAYING" 29 "time.GravityAcc.mean.X" 0.683067625610465
"LAYING" 30 "time.GravityAcc.mean.X" 0.696858200678851
"SITTING" 12 "time.GravityAcc.mean.X" 0.629964778955224
"SITTING" 13 "time.GravityAcc.mean.X" 0.709996516908257
"SITTING" 17 "time.GravityAcc.mean.X" 0.668613344125
"SITTING" 18 "time.GravityAcc.mean.X" 0.962581161666667
"SITTING" 19 "time.GravityAcc.mean.X" 0.475323016
"SITTING" 21 "time.GravityAcc.mean.X" 0.645775957808824
"SITTING" 22 "time.GravityAcc.mean.X" 0.675242930959596
"STANDING" 18 "time.GravityAcc.mean.X" 0.694792777095808
"STANDING" 20 "time.GravityAcc.mean.X" 0.657243899191919
"STANDING" 22 "time.GravityAcc.mean.X" 0.503385126178862
"STANDING" 23 "time.GravityAcc.mean.X" 0.662324737580645
"STANDING" 25 "time.GravityAcc.mean.X" 0.672386622127139
"STANDING" 26 "time.GravityAcc.mean.X" 0.615123534668367
"STANDING" 27 "time.GravityAcc.mean.X" 0.788037331794872
"WALKING" 1 "time.GravityAcc.mean.X" 0.744867411573487
"WALKING" 2 "time.GravityAcc.mean.X" 0.660782866688742
"WALKING" 3 "time.GravityAcc.mean.X" 0.707814353343108
"WALKING" 4 "time.GravityAcc.mean.X" 0.731456509896907
"WALKING" 5 "time.GravityAcc.mean.X" 0.698153719072848
"WALKING" 6 "time.GravityAcc.mean.X" 0.670506153601695
"WALKING_DOWNSTAIRS" 10 "time.GravityAcc.mean.X" 0.65835911957265
"WALKING_DOWNSTAIRS" 12 "time.GravityAcc.mean.X" 0.749117763666667
"WALKING_DOWNSTAIRS" 14 "time.GravityAcc.mean.X" 0.695710723688525
"WALKING_DOWNSTAIRS" 15 "time.GravityAcc.mean.X" 0.688872511512195
"WALKING_DOWNSTAIRS" 16 "time.GravityAcc.mean.X" 0.700906130308743
"WALKING_DOWNSTAIRS" 17 "time.GravityAcc.mean.X" 0.901097859791667
"WALKING_UPSTAIRS" 4 "time.GravityAcc.mean.X" 0.667377493902439
"WALKING_UPSTAIRS" 6 "time.GravityAcc.mean.X" 0.736951892247191
"WALKING_UPSTAIRS" 7 "time.GravityAcc.mean.X" 0.681289120844156
"WALKING_UPSTAIRS" 8 "time.GravityAcc.mean.X" 0.647498175409253
"WALKING_UPSTAIRS" 9 "time.GravityAcc.mean.X" 0.670845545555556
"WALKING_UPSTAIRS" 10 "time.GravityAcc.mean.X" 0.582637512166667
"WALKING_UPSTAIRS" 11 "time.GravityAcc.mean.X" 0.730526184936709
"WALKING_UPSTAIRS" 14 "time.GravityAcc.mean.X" 0.599098975405063
"LAYING" 20 "time.GravityAcc.mean.Y" 0.00243648291666667
"LAYING" 24 "time.GravityAcc.mean.Y" 0.0729509702152231
"LAYING" 27 "time.GravityAcc.mean.Y" 0.0234793061308725
"LAYING" 28 "time.GravityAcc.mean.Y" -0.14757775521466
"LAYING" 29 "time.GravityAcc.mean.Y" 0.115489757911628
"LAYING" 30 "time.GravityAcc.mean.Y" 0.0512698188974987
"SITTING" 12 "time.GravityAcc.mean.Y" 0.112652596558955
"SITTING" 13 "time.GravityAcc.mean.Y" -0.0420858101162079
"SITTING" 17 "time.GravityAcc.mean.Y" 0.01046225616875
"SITTING" 18 "time.GravityAcc.mean.Y" -0.180018835666667
"SITTING" 19 "time.GravityAcc.mean.Y" 0.0964052626666667
"SITTING" 21 "time.GravityAcc.mean.Y" -0.0750963071446078
"SITTING" 22 "time.GravityAcc.mean.Y" 0.0235808363131313
"STANDING" 18 "time.GravityAcc.mean.Y" -0.0010301843263473
"STANDING" 20 "time.GravityAcc.mean.Y" -0.0686181655555556
"STANDING" 22 "time.GravityAcc.mean.Y" 0.0442736759186992
"STANDING" 23 "time.GravityAcc.mean.Y" 0.0146209197354839
"STANDING" 25 "time.GravityAcc.mean.Y" 0.0471601427530562
"STANDING" 26 "time.GravityAcc.mean.Y" 0.10870478277551
"STANDING" 27 "time.GravityAcc.mean.Y" 0.0657218505
"WALKING" 1 "time.GravityAcc.mean.Y" -0.0825562579855908
"WALKING" 2 "time.GravityAcc.mean.Y" -0.147219886910411
"WALKING" 3 "time.GravityAcc.mean.Y" -0.0260590480328739
"WALKING" 4 "time.GravityAcc.mean.Y" 0.072347989306416
"WALKING" 5 "time.GravityAcc.mean.Y" 0.112313109736755
"WALKING" 6 "time.GravityAcc.mean.Y" 0.0612321366461864
"WALKING_DOWNSTAIRS" 10 "time.GravityAcc.mean.Y" -0.165177771367521
"WALKING_DOWNSTAIRS" 12 "time.GravityAcc.mean.Y" -0.0295853747510753
"WALKING_DOWNSTAIRS" 14 "time.GravityAcc.mean.Y" -0.165548427598361
"WALKING_DOWNSTAIRS" 15 "time.GravityAcc.mean.Y" 0.102660491875
"WALKING_DOWNSTAIRS" 16 "time.GravityAcc.mean.Y" -0.0605235993797814
"WALKING_DOWNSTAIRS" 17 "time.GravityAcc.mean.Y" -0.17504772675
"WALKING_UPSTAIRS" 4 "time.GravityAcc.mean.Y" 0.176064219895122
"WALKING_UPSTAIRS" 6 "time.GravityAcc.mean.Y" -0.103190808202247
"WALKING_UPSTAIRS" 7 "time.GravityAcc.mean.Y" -0.0420221452496753
"WALKING_UPSTAIRS" 8 "time.GravityAcc.mean.Y" 0.0303211113118861
"WALKING_UPSTAIRS" 9 "time.GravityAcc.mean.Y" -0.0467446999509028
"WALKING_UPSTAIRS" 10 "time.GravityAcc.mean.Y" 0.2814715215
"WALKING_UPSTAIRS" 11 "time.GravityAcc.mean.Y" 0.0527387028613924
"WALKING_UPSTAIRS" 14 "time.GravityAcc.mean.Y" 0.0546109842746835
"LAYING" 20 "time.GravityAcc.mean.Z" 0.107789718651859
"LAYING" 24 "time.GravityAcc.mean.Z" 0.0623227714146982
"LAYING" 27 "time.GravityAcc.mean.Z" 0.120613102375168
"LAYING" 28 "time.GravityAcc.mean.Z" -0.0469931021049738
"LAYING" 29 "time.GravityAcc.mean.Z" 0.208215370043721
"LAYING" 30 "time.GravityAcc.mean.Z" 0.184343178348037
"SITTING" 12 "time.GravityAcc.mean.Z" -0.0494520137037313
"SITTING" 13 "time.GravityAcc.mean.Z" 0.0443010536786239
"SITTING" 17 "time.GravityAcc.mean.Z" 0.0223722077328125
"SITTING" 18 "time.GravityAcc.mean.Z" 0.0783976787
"SITTING" 19 "time.GravityAcc.mean.Z" 0.233011401195083
"SITTING" 21 "time.GravityAcc.mean.Z" 0.0321851774362745
"SITTING" 22 "time.GravityAcc.mean.Z" 0.236637160405404
"STANDING" 18 "time.GravityAcc.mean.Z" 0.0910314168113772
"STANDING" 20 "time.GravityAcc.mean.Z" 0.10679036740404
"STANDING" 22 "time.GravityAcc.mean.Z" 0.234681679495935
"STANDING" 23 "time.GravityAcc.mean.Z" 0.0518662466372043
"STANDING" 25 "time.GravityAcc.mean.Z" 0.239226040930391
"STANDING" 26 "time.GravityAcc.mean.Z" 0.234107010472449
"STANDING" 27 "time.GravityAcc.mean.Z" 0.219701605211973
"WALKING" 1 "time.GravityAcc.mean.Z" 0.072339870389049
"WALKING" 2 "time.GravityAcc.mean.Z" 0.134865335090728
"WALKING" 3 "time.GravityAcc.mean.Z" 0.0480937904190616
"WALKING" 4 "time.GravityAcc.mean.Z" 0.193993433768041
"WALKING" 5 "time.GravityAcc.mean.Z" 0.0921607197449904
"WALKING" 6 "time.GravityAcc.mean.Z" 0.0584702778558475
"WALKING_DOWNSTAIRS" 10 "time.GravityAcc.mean.Z" 0.0307366662204145
"WALKING_DOWNSTAIRS" 12 "time.GravityAcc.mean.Z" 0.0924517595346237
"WALKING_DOWNSTAIRS" 14 "time.GravityAcc.mean.Z" -0.255499121995902
"WALKING_DOWNSTAIRS" 15 "time.GravityAcc.mean.Z" 0.0372897701757012
"WALKING_DOWNSTAIRS" 16 "time.GravityAcc.mean.Z" 0.0402075536234973
"WALKING_DOWNSTAIRS" 17 "time.GravityAcc.mean.Z" -0.284880580416667
"WALKING_UPSTAIRS" 4 "time.GravityAcc.mean.Z" 0.117030634772358
"WALKING_UPSTAIRS" 6 "time.GravityAcc.mean.Z" 0.0184833048368539
"WALKING_UPSTAIRS" 7 "time.GravityAcc.mean.Z" 0.0342160711928604
"WALKING_UPSTAIRS" 8 "time.GravityAcc.mean.Z" 0.0836542406807936
"WALKING_UPSTAIRS" 9 "time.GravityAcc.mean.Z" 0.104353653032743
"WALKING_UPSTAIRS" 10 "time.GravityAcc.mean.Z" 0.1506301434
"WALKING_UPSTAIRS" 11 "time.GravityAcc.mean.Z" 0.140209861246835
"WALKING_UPSTAIRS" 14 "time.GravityAcc.mean.Z" 0.130135867455696
"LAYING" 20 "time.GravityAcc.std.X" -0.95804564051282
"LAYING" 24 "time.GravityAcc.std.X" -0.975329699658793
"LAYING" 27 "time.GravityAcc.std.X" -0.971679845234899
"LAYING" 28 "time.GravityAcc.std.X" -0.973873328062827
"LAYING" 29 "time.GravityAcc.std.X" -0.973282885843023
"LAYING" 30 "time.GravityAcc.std.X" -0.974319118563969
"SITTING" 12 "time.GravityAcc.std.X" -0.973039656865672
"SITTING" 13 "time.GravityAcc.std.X" -0.967268063455658
"SITTING" 17 "time.GravityAcc.std.X" -0.9695361643125
"SITTING" 18 "time.GravityAcc.std.X" -0.995679798333333
"SITTING" 19 "time.GravityAcc.std.X" -0.958290447861111
"SITTING" 21 "time.GravityAcc.std.X" -0.965586634460784
"SITTING" 22 "time.GravityAcc.std.X" -0.970886422525252
"STANDING" 18 "time.GravityAcc.std.X" -0.978742766586826
"STANDING" 20 "time.GravityAcc.std.X" -0.958324946717172
"STANDING" 22 "time.GravityAcc.std.X" -0.938572531056911
"STANDING" 23 "time.GravityAcc.std.X" -0.964393040295699
"STANDING" 25 "time.GravityAcc.std.X" -0.950017091344743
"STANDING" 26 "time.GravityAcc.std.X" -0.96781789994898
"STANDING" 27 "time.GravityAcc.std.X" -0.985853734871795
